County,FIPS,Value (Dollars),Rank within US (of 3139 counties)
Wahkiakum,53069,"65,982","2,574"
Adams,53001,"70,719","2,316"
Okanogan,53047,"72,420","2,177"
Ferry,53019,"74,688","2,013"
Yakima,53077,"76,662","1,860"
Pend,53051,"77,168","1,817"
Grant,53025,"79,271","1,641"
Grays,53027,"79,893","1,600"
Stevens,53065,"81,867","1,466"
Asotin,53003,"82,213","1,434"
Pacific,53049,"83,188","1,350"
Lincoln,53043,"84,203","1,276"
Clallam,53009,"84,546","1,254"
Lewis,53041,"84,960","1,212"
Klickitat,53039,"86,578","1,103"
Garfield,53023,"86,616","1,097"
Cowlitz,53015,"86,738","1,087"
Franklin,53021,"88,256","1,006"
Douglas,53017,"89,320",938
Walla,53071,"90,621",873
Whitman,53075,"91,032",856
Mason,53045,"91,478",838
Chelan,53007,"91,893",821
Spokane,53063,"94,226",705
Jefferson,53031,"98,262",518
Skagit,53057,"99,179",489
Kittitas,53037,"99,709",475
Columbia,53013,"101,653",428
Whatcom,53073,"102,596",400
Benton,53005,"103,290",378
Skamania,53059,"104,191",361
San,53055,"104,737",350
Island,53029,"105,012",341
Clark,53011,"108,973",273
Pierce,53053,"111,126",247
Thurston,53067,"111,908",239
Kitsap,53035,"114,590",210
Snohomish,53061,"127,475",110
King,53033,"154,490",24
